Price,Date
1.446,2020-03-18
1.446,2020-03-19
1.446,2020-03-20
1.446,2020-03-21
1.446,2020-03-22
1.376,2020-03-23
1.369,2020-03-24
1.369,2020-03-25
1.369,2020-03-26
1.369,2020-03-27
1.369,2020-03-28
1.369,2020-03-29
1.349,2020-03-30
1.349,2020-03-31
1.349,2020-04-01
1.349,2020-04-02
1.349,2020-04-03
1.349,2020-04-04
1.349,2020-04-05
1.347,2020-04-07
1.347,2020-04-10
1.347,2020-04-11
1.347,2020-04-12
1.349,2020-04-13
1.351,2020-04-14
1.351,2020-04-15
1.351,2020-04-16
1.351,2020-04-17
1.351,2020-04-18
1.351,2020-04-19
1.351,2020-04-20
1.351,2020-04-21
1.351,2020-04-22
1.351,2020-04-26
1.336,2020-04-27
1.327,2020-04-28
1.327,2020-04-29
1.327,2020-04-30
1.327,2020-05-01
1.327,2020-05-02
1.327,2020-05-03
1.331,2020-05-04
1.334,2020-05-05
1.334,2020-05-06
1.334,2020-05-07
1.334,2020-05-08
1.334,2020-05-09
1.334,2020-05-10
1.371,2020-05-11
1.371,2020-05-13
1.371,2020-05-14
1.371,2020-05-15
1.371,2020-05-16
1.371,2020-05-17
1.396,2020-05-18
1.397,2020-05-19
